file,product,model,colour,code,lighting,angle
bottle_SER1-OBS-FR-BLK-FOI_studio_front.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,studio,front
bottle_SER1-OBS-FR-BLK-FOI_studio_hero.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,studio,hero
bottle_SER1-OBS-FR-BLK-FOI_studio_high.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,studio,high
bottle_SER1-OBS-FR-BLK-FOI_studio_profile.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,studio,profile
bottle_SER1-OBS-FR-BLK-FOI_sunset_front.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,sunset,front
bottle_SER1-OBS-FR-BLK-FOI_sunset_hero.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,sunset,hero
bottle_SER1-OBS-FR-BLK-FOI_sunset_high.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,sunset,high
bottle_SER1-OBS-FR-BLK-FOI_sunset_profile.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,sunset,profile
bottle_SER1-OBS-FR-BLK-FOI_white_front.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,white,front
bottle_SER1-OBS-FR-BLK-FOI_white_hero.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,white,hero
bottle_SER1-OBS-FR-BLK-FOI_white_high.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,white,high
bottle_SER1-OBS-FR-BLK-FOI_white_profile.png,bottle,SERUM 30ML,Obsidian,SER1-OBS-FR-BLK-FOI,white,profile
bottle_SER1-SGE-MT-GLD-BLK_neon_front.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,neon,front
bottle_SER1-SGE-MT-GLD-BLK_neon_hero.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,neon,hero
bottle_SER1-SGE-MT-GLD-BLK_neon_high.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,neon,high
bottle_SER1-SGE-MT-GLD-BLK_neon_profile.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,neon,profile
bottle_SER1-SGE-MT-GLD-BLK_showroom_front.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,showroom,front
bottle_SER1-SGE-MT-GLD-BLK_showroom_hero.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,showroom,hero
bottle_SER1-SGE-MT-GLD-BLK_showroom_high.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,showroom,high
bottle_SER1-SGE-MT-GLD-BLK_showroom_profile.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,showroom,profile
bottle_SER1-SGE-MT-GLD-BLK_studio_front.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,studio,front
bottle_SER1-SGE-MT-GLD-BLK_studio_hero.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,studio,hero
bottle_SER1-SGE-MT-GLD-BLK_studio_high.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,studio,high
bottle_SER1-SGE-MT-GLD-BLK_studio_profile.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,studio,profile
